manufacturer,model,type,year,price,mileage,location,transmission,fuel_type,grade,car_condition
Honda,Accord,Sedan,2005,1242000,183660,"C45 , Abuja",automatic,Petrol,C,Nigerian used
Toyota,Rav4,Suv,2007,2474000,102947,"C45 , Lagos",automatic,Petrol,C,Nigerian used
Toyota,Sienna,Mpv,2004,1410000,261472,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Toyota,Matrix,Hatchback,2006,2138000,142970,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Mercedes-Benz,CLA250,Sedan,2014,8970000,102669,"C45 , Port Harcourt",automatic,Electric,C,Nigerian used
Lexus,Rx,Suv,2005,2250000,103104,"C45 , Akure",automatic,Petrol,C,Nigerian used
Toyota,Rav4,Suv,2007,3146000,120050,"C45 , Abuja",automatic,Petrol,D,Nigerian used
Honda,Accord,Sedan,2013,3594000,63964,"C45 , Lagos",automatic,Petrol, ,Nigerian used
Honda,Ridgeline,Truck,2007,2698000,172905,"C45 , Lagos",automatic,Petrol,E,Nigerian used
Honda,Accord,Sedan,2013,4714000,59536,"C45 , Ilorin",automatic,Petrol,C,Nigerian used
Toyota,Corolla,Sedan,2009,2474000,71809,"C45 , Lagos",automatic,Petrol,C,Nigerian used
Toyota,Sienna,Mpv,2006,3202000,191352,"C45 , Lagos",triptonic,Petrol,D,Foreign used
Toyota,Camry,Sedan,2007,2362000,267818,"C45 , Abuja",automatic,Petrol,C,Nigerian used
Mitsubishi,Endeavor,Suv,2006,1650000,181277,"C45 , Lagos",automatic,Petrol,C,Foreign used
Toyota,Camry,Sedan,2008,2250000,103298,"C45 , Abuja",automatic,Petrol,D,Nigerian used
Lexus,Gs,Sedan,2010,3370000,170012,"C45 , Lagos",automatic,Petrol,E,Nigerian used
Ford,Explorer,Suv,2013,8410000,142404,"C45 , Lagos",automatic,Petrol, ,Foreign used
Volkswagen,Golf,Sedan,1995,402000,0,"C45 , Ilorin",manual,Petrol,D,Nigerian used
Lexus,Is 250,Sedan,2010,2922000,184611,"C45 , Ibadan",automatic,Petrol,C,Nigerian used
Ford,Edge,Suv,2013,3930000,103698,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Toyota,Camry,Sedan,2012,5946000,151111,"C45 , Abuja",automatic,Petrol,C,Foreign used
Toyota,Camry,Sedan,2020,20170000,16986,"C45 , Abuja",automatic,Petrol,A,Foreign used
Peugeot,407,Sedan,2002,794000,208059,"C45 , Lagos",manual,Petrol,D,Nigerian used
Kia,Sportage,Suv,2012,5050000,31251,"C45 , Port Harcourt",automatic,Petrol, ,Nigerian used
Kia,Sorento,Suv,2006,1802000,192479,"C45 , Lagos",automatic,Petrol,C,Nigerian used
Kia,Optima,Sedan,2013,2586000,137624,"C45 , Abuja",automatic,Petrol,C,Nigerian used
