manufacturer,model,year,price,mileage,location,transmission,fuel_type,grade,car_condition,car_age
Honda,Pilot,2011,5610000,105710,Lagos,automatic,Petrol,D,Nigerian used,10
Honda,Accord,2007,1578000,157090,Lagos,automatic,Petrol,D,Nigerian used,14
Toyota,Corolla,2005,1242000,262369,Abuja,manual,Petrol,C,Nigerian used,16
Mercedes-Benz,C300,2015,7547500,59048,Lagos,automatic,Petrol,C,Nigerian used,6
Lexus,Is 250,2013,3370000,67490,Ibadan,automatic,Petrol,D,Nigerian used,8
Toyota,Sienna,1998,2474000,196061,Lagos,automatic,Petrol,D,Foreign used,23
Honda,Accord,2012,3762000,162355,Ibadan,automatic,Petrol,D,Foreign used,9
Toyota,Corolla,2006,2698000,87710,Ibadan,automatic,Petrol,E,Foreign used,15
Ford,Explorer,2013,3594000,102525,Lagos,automatic,Petrol,D,Nigerian used,8
Honda,Cr-V,2001,794000,189841,Lagos,automatic,Petrol,E,Nigerian used,20
Toyota,Land Cruiser Prado,2008,7290000,225710,Lagos,automatic,Petrol,D,Nigerian used,13
Toyota,Corolla,2004,2026000,299999,Abuja,automatic,Petrol,C,Nigerian used,17
Mercedes-Benz,C280,2006,1466000,191412,Lagos,automatic,Petrol,C,Nigerian used,15
Kia,Rio,2014,1380000,108597,Lagos,automatic,Petrol,D,Nigerian used,7
Mercedes-Benz,Sprinter,2001,3370000,279415,Lagos,manual,Diesel,E,Nigerian used,20
Toyota,Corolla,2015,5610000,94947,Abuja,automatic,Petrol,C,Nigerian used,6
Toyota,Corolla,2010,1690000,112034,Abuja,manual,Petrol,C,Nigerian used,11
Nissan,Primera,2006,1690000,110536,Lagos,manual,Petrol,E,Foreign used,15
Honda,Accord,2003,1018000,198719,Lagos,automatic,Petrol,C,Nigerian used,18
Toyota,Corolla,2011,4378000,147762,Ibadan,automatic,Petrol,C,Foreign used,10
Mercedes-Benz,S320,2002,1018000,91077,Ilorin,automatic,Petrol,D,Nigerian used,19
Honda,Accord,2009,1578000,74178,Onitsha,automatic,Petrol,D,Nigerian used,12
Acura,Mdx,2007,2250000,141078,Abuja,automatic,Petrol,C,Nigerian used,14
Honda,Accord,2000,682000,181233,Lagos,automatic,Petrol,D,Nigerian used,21
Lexus,Is 250,2012,3370000,130784,Abuja,automatic,Petrol,C,Nigerian used,9
Ford,Ecosport,2015,3370000,87000,Lagos,automatic,Petrol,D,Nigerian used,6
Landrover,Range Rover Sport,2006,2586000,122671,Lagos,automatic,Petrol,C,Nigerian used,15
Acura,Tsx,2009,2810000,156629,Abuja,automatic,Petrol,C,Nigerian used,12
Toyota,Tacoma,2004,4490000,275053,Lagos,automatic,Petrol,C,Nigerian used,17
Toyota,VERSO,2005,1354000,289462,Lagos,manual,Petrol,E,Nigerian used,16
Toyota,Camry,2009,2474000,105493,PortHarcourt,automatic,Petrol,D,Nigerian used,12
Nissan,Pathfinder,2006,1130000,237540,Lagos,automatic,Petrol,D,Nigerian used,15
Volkswagen,Passat,2008,1690000,175649,Lagos,automatic,Petrol,C,Foreign used,13
Acura,Mdx,2010,5610000,83707,Lagos,automatic,Petrol,C,Foreign used,11
