manufacturer,model,type,year,price,mileage,location,transmission,fuel_type,grade,car_condition
Kia,Sportage,Suv,2012.0,5050000,31251.0,PortHarcourt,automatic,Petrol, ,Nigerian used
Kia,Sorento,Suv,2006.0,1802000,192479.0,Lagos,automatic,Petrol,C,Nigerian used
Kia,Optima,Sedan,2013.0,2586000,137624.0,Abuja,automatic,Petrol,C,Nigerian used
Toyota,Corolla,Sedan,2013.0,2250000,118005.0,PortHarcourt,automatic,Petrol,C,Nigerian used
Toyota,Camry,Sedan,1999.0,1018000,312041.0,Ibadan,automatic,Petrol,E,Nigerian used
Toyota,Rav4,Suv,2008.0,2586000,179017.0,Abuja,automatic,Petrol,C,Nigerian used
Toyota,Camry,Sedan,2007.0,2250000,350180.0,Lagos,automatic,Petrol,E,Nigerian used
Toyota,Venza,Crossover,2010.0,7514000,177734.0,PortHarcourt,automatic,Petrol, ,Foreign used
Mercedes-Benz,E350,Sedan,2014.0,7850000,29333.0,Ilorin,automatic,Petrol,C,Nigerian used
Honda,Cr-V,Suv,2014.0,4882000,59889.0,Lagos,automatic,Petrol,D,Nigerian used
BMW,X3,Suv,2006.0,1480000,128248.0,Lagos,automatic,Petrol,E,Nigerian used
Peugeot,206,Hatchback,2004.0,1074000,272592.0,Kaduna,automatic,Petrol,C,Nigerian used
Toyota,Matrix,Hatchback,2006.0,1914000,121331.0,Lagos,automatic,Petrol,D,Nigerian used
Ford,Escape,Suv,2008.0,1242000,111740.0,Lagos,automatic,Petrol,E,Nigerian used
Toyota,Corolla,Sedan,2008.0,1242000,134300.0,Lagos,manual,Petrol,D,Nigerian used
Mercedes-Benz,E320,Sedan,2003.0,1802000,40062.0,Ilorin,automatic,Petrol,D,Nigerian used
Volkswagen,Passat,Sedan,2009.0,1802000,150826.0,Lagos,automatic,Petrol,D,Nigerian used
Toyota,Matrix,Hatchback,2008.0,3034000,11977.0,Lagos,automatic,Petrol,D,Foreign used
Mercedes-Benz,Ml350,Suv,2010.0,4490000,39978.0,Lagos,automatic,Petrol,C,Nigerian used
Toyota,Corolla,Sedan,2009.0,3034000,33952.0,Abuja,automatic,Petrol,D,Nigerian used
Toyota,Corolla,Sedan,2014.0,3594000,96405.0,Ibadan,manual,Petrol,D,Nigerian used
Toyota,Corolla,Sedan,2006.0,2586000,96572.0,PortHarcourt,automatic,Petrol,D,Foreign used
Mercedes-Benz,C300,Sedan,2008.0,3930000,164344.0,Abuja,automatic,Petrol, ,Nigerian used
Lexus,Rx 350,Suv,2010.0,5162000,44033.0,Abuja,automatic,Petrol, ,Nigerian used
Toyota,Camry,Sedan,2008.0,2586000,210696.0,Benin,automatic,Petrol, ,Nigerian used
Ford,Edge,Suv,2010.0,3314000,167842.0,Ibadan,automatic,Petrol,D,Foreign used
Hyundai,Sonata,Sedan,2014.0,7290000,127534.0,Lagos,automatic,Petrol,C,Foreign used
Honda,Odyssey,Mpv,2008.0,2810000,187801.0,Lagos,automatic,Petrol,C,Foreign used
Toyota,Camry,Sedan,2015.0,7850000,81428.0,Ibadan,automatic,Petrol,C,Foreign used
Lexus,Rx 350,Suv,2007.0,2586000,220358.0,Lagos,automatic,Petrol, ,Nigerian used
Toyota,Camry,Sedan,2015.0,7850000,90528.0,Ibadan,automatic,Petrol,D,Foreign used
Mitsubishi,Fuso,Bus,2013.0,5050000,235764.0,Lagos,manual,Diesel,D,Nigerian used
Toyota,Sienna,Mpv,2008.0,1914000,77822.0,Lagos,automatic,Petrol,D,Nigerian used
Toyota,Venza,Suv,2014.0,11210000,35044.0,Ibadan,automatic,Petrol,D,Foreign used
Toyota,Avalon,Sedan,2006.0,1858000,51200.0,Lagos,automatic,Petrol,D,Nigerian used
Mercedes-Benz,Ml350,Suv,2012.0,8522000,48128.0,Lagos,automatic,Petrol, ,Nigerian used
Toyota,Camry,Sedan,2009.0,2597200,117810.0,Lagos,automatic,Petrol,E,Foreign used
Mazda,6,Sedan,2017.0,6730000,40226.0,PortHarcourt,automatic,Petrol,E,Nigerian used
Honda,Odyssey,Mpv,2009.0,1690000,201058.0,Kaduna,automatic,Petrol,D,Nigerian used
Landrover,Range Rover Evoque,Suv,2015.0,6170000,53802.0,Lagos,automatic,Petrol,E,Nigerian used
Lexus,Is 250,Sedan,2006.0,2250000,220069.0,Lagos,automatic,Hybrid, ,Nigerian used
Toyota,Sienna,Mpv,2002.0,1662000,262495.0,Onitsha,automatic,Petrol,D,Nigerian used
Hyundai,Elantra,Sedan,2011.0,2138000,175758.0,Abuja,automatic,Petrol,D,Nigerian used
Kia,Sportage,Suv,2008.0,1354000,83692.0,PortHarcourt,automatic,Petrol, ,Nigerian used
Mitsubishi,Montero,Suv,2004.0,1466000,173305.0,Benin,automatic,Petrol, ,Nigerian used
Landrover,Freelander,Suv,2008.0,3272500,101118.0,Lagos,automatic,Petrol,D,Nigerian used
Ford,Explorer,Suv,2006.0,1354000,199426.0,Onitsha,automatic,Petrol,D,Nigerian used
Toyota,Hilux,Truck,2006.0,4490000,114321.0,Lagos,manual,Petrol,C,Nigerian used
Toyota,Camry,Sedan,2011.0,1914000,73049.0,Lagos,automatic,Petrol,D,Nigerian used
Toyota,Corolla,Hatchback,2006.0,2474000,103949.0,Kaduna,automatic,Petrol, ,Foreign used
Toyota,Camry,Sedan,2012.0,3706000,73463.0,Akure,automatic,Petrol,C,Nigerian used
Mercedes-Benz,B200,Hatchback,2008.0,2586000,157873.0,Lagos,automatic,Petrol,E,Nigerian used
Toyota,Sienna,Hatchback,2000.0,1018000,224476.0,Asaba,automatic,Petrol, ,Nigerian used
Toyota,Sienna,Mpv,2010.0,5274000,163027.0,Lagos,automatic,Petrol,C,Foreign used
BMW,3 Series,Sedan,2006.0,1018000,203182.0,Abuja,automatic,Petrol,C,Nigerian used
Honda,Accord,Sedan,2008.0,1802000,82284.0,Lagos,automatic,Petrol,E,Nigerian used
Hyundai,Entourage,Hatchback,2008.0,1634000,80971.0,PortHarcourt,automatic,Petrol, ,Nigerian used
Nissan,Rogue,Suv,2008.0,2026000,117210.0,Ilorin,automatic,Petrol,C,Foreign used
Toyota,Sienna,Convertible,2003.0,1466000,159956.0,Lagos,automatic,Petrol,D,Nigerian used
Honda,Odyssey,Suv,2005.0,2474000,209578.0,Lagos,automatic,Petrol,C,Foreign used
Kia,Sportage,Suv,2008.0,1354000,85140.0,Benin,automatic,Petrol, ,Nigerian used
Mercedes-Benz,Cls550,Sedan,2010.0,6170000,171674.0,Lagos,automatic,Petrol,C,Foreign used
Toyota,Sienna,Mpv,2001.0,1130000,237519.0,Lagos,automatic,Petrol,E,Nigerian used
Toyota,Camry,Sedan,2007.0,2586000,109502.0,Kaduna,automatic,Petrol,D,Nigerian used
Toyota,Corolla,Sedan,2014.0,5050000,45641.0,PortHarcourt,automatic,Petrol, ,Nigerian used
Ford,Explorer,Suv,2015.0,4510000,68913.0,Lagos,automatic,Petrol,C,Nigerian used
Mazda,6,Sedan,2004.0,794000,141060.0,Kaduna,automatic,Petrol,C,Nigerian used
Toyota,Sienna,Mpv,2006.0,1130000,1.0,Lagos,automatic,Petrol,D,Nigerian used
Mercedes-Benz,C300,Sedan,2008.0,3034000,123928.0,Lagos,automatic,Petrol,C,Nigerian used
Landrover,RANGE ROVER,Suv,2006.0,3370000,192232.0,Lagos,automatic,Petrol, ,Nigerian used
Lexus,Es 350,Sedan,2009.0,3594000,86195.0,Lagos,automatic,Petrol, ,Nigerian used
Toyota,Corolla,Sedan,2007.0,1522000,170315.0,Ibadan,automatic,Petrol,E,Nigerian used
BMW,X3,Mpv,2008.0,1914000,134875.0,PortHarcourt,automatic,Petrol,E,Nigerian used
Mercedes Benz,E320,Sedan,2001.0,962000,398763.0,Lagos,automatic,Petrol,D,Nigerian used
Nissan,Pathfinder,Suv,2005.0,1690000,124000.0,Abuja,automatic,Petrol, ,Nigerian used
Toyota,Camry,Sedan,2009.0,2138000,176812.0,PortHarcourt,automatic,Petrol, ,Nigerian used
Toyota,Corolla,Sedan,2008.0,2586000,269669.0,Lagos,automatic,Petrol, ,Nigerian used
Honda,Accord,Sedan,2009.0,1698000,83753.0,Lagos,automatic,Petrol,C,Nigerian used
Toyota,Camry,Sedan,2007.0,2306000,91478.0,PortHarcourt,automatic,Petrol, ,Nigerian used
Toyota,Corolla,Sedan,2009.0,2138000,56415.0,PortHarcourt,automatic,Petrol, ,Nigerian used
Toyota,Sequoia,Suv,2006.0,2698000,88626.0,Ilorin,automatic,Petrol,C,Nigerian used
Lexus,Rx 350,Suv,2015.0,11210000,56307.0,Ibadan,automatic,Petrol,D,Foreign used
Landrover,Range Rover Sport,Suv,2006.0,2250000,144981.0,Lagos,automatic,Petrol, ,Nigerian used
Honda,Accord,Sedan,2008.0,2922000,112934.0,Benin,automatic,Petrol, ,Foreign used
Ford,Focus,Sedan,2012.0,1242000,66652.0,PortHarcourt,manual,Petrol,C,Nigerian used
Kia,Rio,Sedan,2012.0,1354000,90679.0,Lagos,manual,Petrol, ,Nigerian used
Ford,Focus,Sedan,2012.0,1858000,107252.0,Kaduna,automatic,Petrol,D,Nigerian used
Honda,Accord,Sedan,2016.0,5834000,89444.0,Abuja,automatic,Petrol,D,Nigerian used
Nissan,Qashqai,Suv,2015.0,3930000,92299.0,Lagos,automatic,Petrol,C,Nigerian used
JAC,S7,Suv,2019.0,7850000,35403.0,Lagos,automatic,Petrol,C,Nigerian used
Toyota,Camry,Sedan,2003.0,2250000,187524.0,Onitsha,automatic,Petrol, ,Nigerian used
Mercedes-Benz,CLA,Sedan,2016.0,7066000,1.0,Lagos,automatic,Petrol,E,Nigerian used
Lexus,Is 250,Sedan,2007.0,2586000,228060.0,Ibadan,automatic,Petrol,C,Nigerian used
Toyota,Matrix,Sedan,2009.0,2810000,268927.0,Lagos,automatic,Petrol, ,Nigerian used
Mercedes-Benz,GLK350,Suv,2010.0,6730000,85953.0,Abuja,automatic,Petrol,C,Foreign used
Hyundai,Sonata,Sedan,2013.0,3370000,160757.0,Ibadan,automatic,Petrol,D,Nigerian used
Mercedes-Benz,Clk350,Sedan,2006.0,2530000,154140.0,Abuja,automatic,Petrol,C,Foreign used
Toyota,Corolla,Sedan,2010.0,2866000,208829.0,Lagos,automatic,Petrol,D,Nigerian used
Toyota,Corolla,Sedan,2009.0,2138000,65506.0,Kaduna,automatic,Petrol,D,Nigerian used
Volkswagen,Golf,Sedan,1998.0,794000,197282.0,Ilorin,automatic,Petrol,D,Nigerian used
Ford,Escape,Suv,2001.0,570000,206219.0,Lagos,automatic,Petrol, ,Nigerian used
Toyota,Avalon,Sedan,2013.0,6730000,71660.0,Abuja,automatic,Petrol,C,Foreign used
Honda,Civic,Sedan,2006.0,1354000,173776.0,Lagos,automatic,Petrol, ,Nigerian used
